Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
AX Aur,DCEP,0.4838,9.929,9.491,9.283,-0.22,-0.08,13.02,0.05,11955,461,a,LEM 
BK Aur,DCEP,0.9032,7.291,6.885,6.711,-0.07,0.07,11.9,0.05,10207,453,a,LEM 
SY Aur,DCEP,1.0062,6.913,6.525,6.348,-0.07,0.07,11.9,0.05,10271,454,a,LEM 
Y Aur,DCEP,0.5865,7.651,7.287,7.113,-0.26,-0.12,11.27,0.05,9692,453,a,LEM 
YZ Aur,DCEP,1.2599,7.487,6.905,6.669,-0.33,-0.19,12.89,0.05,11668,459,a,LEM 
AQ Car,DCEP,0.9898,7.138,6.757,6.618,-0.3,-0.16,12.14,0.05,7658,425,b,LEM 
l Car,DCEP,1.5507,1.706,1.225,1.073,0.1,0.24,8.4,0.05,7845,451,b,LEM 
UX Car,DCEP,0.5661,6.992,6.728,6.62,-0.1,0.04,10.82,0.05,7698,444,b,LEM 
V Car,DCEP,0.8259,5.753,5.402,5.274,-0.06,0.08,10.27,0.05,7915,447,b,LEM 
V397 Car,DCEPS,0.3145,6.857,6.533,6.404,-0.08,0.06,10.42,0.07,7678,447,c*,LEM 
VY Car,DCEP,1.2785,5.404,4.958,4.792,-0.06,0.08,11.22,0.05,7627,441,b,LEM 
RY Cma,DCEP,0.6701,6.363,6.042,5.874,0,0.14,10.35,0.05,8796,450,a,LEM 
RZ Cma,DCEP,0.6289,7.533,7.178,6.967,-0.2,-0.06,11.25,0.05,9162,448,a,LEM 
BV Mon,DCEP,0.4792,9.005,8.584,8.42,-0.1,0.04,12.18,0.05,10398,452,a,LEM 
EK Mon,DCEP,0.5975,8.516,8.051,7.792,-0.05,0.09,11.86,0.07,9960,453,c,LEM 
UY Mon,DCEPS,0.3799,8.175,7.958,7.897,-0.33,-0.19,12.26,0.1,10553,464,c*,LEM 
WW Mon,DCEP,0.6686,9.963,9.507,9.333,-0.32,-0.18,13.7,0.05,13176,463,a†,LEM 
GQ Ori,DCEP,0.9353,7.068,6.65,6.503,0.11,0.25,11.81,0.05,10129,453,b,LEM 
AD Pup,DCEP,1.1333,7.723,7.341,7.144,-0.2,-0.06,13.12,0.07,10588,434,c,LEM 
AP Pup,DCEP,0.7062,5.788,5.443,5.322,-0.16,-0.02,9.93,0.05,8234,449,b†,LEM 
AT Pup,DCEP,0.8238,6.4,6.054,5.93,-0.22,-0.08,10.93,0.05,8484,445,b,LEM 
