Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
QY Cen,DCEP,1.2493,7.374,6.596,6.242,0.24,0.21,12.22,0.07,6427,429,c,LIII 
UZ Cen,CEP(B),0.523,7.335,6.957,6.767,-0.19,-0.2,10.69,0.16,7465,446,c*,SZI 
V1048 Cen,CEP(B),-0.0351,9.113,8.799,8.719,-0.18,-0.19,10.88,0.08,7493,444,c*,SZI 
V1210Cen,CEP(B),0.6352,7.603,7.173,6.968,-0.02,-0.03,11.23,0.06,6775,445,c*,SZI 
V378 Cen,DCEPS,0.8102,6.328,5.909,5.743,0.08,0.05,11.38,0.05,6993,441,b†,LIII 
V381 Cen,CEP,0.7058,6.143,5.822,5.703,0.02,-0.01,10.33,0.05,7235,449,b†,LIII 
v419Cen,DCEPS,0.7409,6.706,6.461,6.273,0.14,0.11,11.79,0.09,7392,433,c*,LIII 
V496 Cen,DCEP,0.6458,7.424,6.977,6.784,0.09,0.06,11.07,0.07,7145,444,c,LIII 
V659 Cen,DCEP,0.7499,5.177,4.907,4.651,0.09,0.06,9.38,0.07,7504,451,c,LIII 
V737 Cen,DCEP,0.8492,4.951,4.573,4.432,0.14,0.11,9.48,0.05,7403,451,b†,LIII 
AK Cep,DCEP,0.8593,8.4,7.896,7.703,0.05,0.02,12.66,0.05,9420,426,a,LIII 
CN Cep,DCEP,0.9778,8.329,7.641,7.333,0.06,0.03,12.49,0.05,9649,434,a,LIII 
CP Cep,DCEP,1.2519,7.335,6.724,6.476,-0.01,0.05,12.64,0.05,9175,423,a,LII 
CR Cep,DCEP,0.7947,6.641,6.097,5.873,-0.06,0,10.57,0.05,8424,447,a,LII 
DR Cep,DCEP,1.2803,9.471,8.851,8.695,-0.14,-0.17,15,0.07,13289,389,c,LIII 
IR Cep,DCEP,0.3251,5.907,5.593,5.454,0.05,0.11,9.58,0.09,8169,450,c,LII 
IY Cep,CEP,0.7526,9.871,9.123,8.843,0.11,0.08,13.21,0.06,9777,412,c,LIII 
MU Cep,CEP,0.5761,9.37,8.783,8.632,0.18,0.15,12.6,0.07,9321,428,c,LIII 
V901 Cep,DCEP,0.9542,8.022,7.351,7.073,0.04,0.01,12.18,0.07,9138,436,c,LIII 
V911Cep,DCEP,0.6312,8.854,8.22,7.977,-0.02,-0.05,12.04,0.07,9076,437,c,LIII 
δCep,DCEP,0.7297,2.7,2.397,2.306,0.12,0.09,7.04,0.05,8010,452,b,LIII 
AV Cir,DCEP,0.4864,5.582,5.236,5.093,0.17,0.14,9.68,0.05,7371,450,b†,LIII 
AX Cir,DCEP,0.7221,4.299,3.879,3.78,-0.01,-0.04,8.41,0.17,7603,452,c,LIII 
BP Cir,CEP,0.3799,5.918,5.612,5.483,0.02,-0.01,9.74,0.05,7326,450,b†,LIII 
VZ Cma,DCEPS,0.495,7.221,6.806,6.605,-0.06,0,11.13,0.1,8903,449,c*,LII 
XZ Cma,CEP,0.4082,10.97,10.558,10.39,-0.57,-0.26,13.92,0.07,12567,447,c,YON 
AD Cru,DCEP,0.806,8.198,7.661,7.387,0.11,0.08,12.1,0.07,7075,427,c,LIII 
AG Cru,DCEP,0.584,6.674,6.353,6.23,0.08,0.05,10.44,0.05,7371,447,b,LIII 
BG Cru,DCEPS,0.5241,4.237,3.975,3.878,-0.08,-0.11,8.68,0.05,7678,451,b,LIII 
R Cru,DCEP,0.7654,5.26,4.931,4.81,0.13,0.1,9.63,0.05,7559,450,b†,LIII 
S Cru,DCEP,0.6712,5.086,4.755,4.632,0.11,0.08,9.13,0.05,7593,451,b,LIII 
T Cru,DCEP,0.8282,4.941,4.541,4.407,0.14,0.11,9.37,0.05,7599,450,b†,LIII 
VW Cru,DCEP,0.7214,6.805,6.261,6.051,0.19,0.16,10.51,0.07,7370,447,c,LIII 
X Cru,DCEP,0.7938,6.521,6.125,5.935,0.15,0.12,10.76,0.07,7283,446,c,LIII 
BZ Cyg,DCEP,1.0061,6.758,6.147,5.864,0.19,0.25,11.19,0.05,7971,441,a,LII 
CD Cyg,DCEP,1.2323,6.347,5.842,5.647,0.15,0.12,11.86,0.05,7513,431,a,LIII 
DT Cyg,DCEPS,0.3978,4.638,4.39,4.374,0.1,0.16,8.8,0.18,7827,451,c*,LII 
EP Cyg,DCEP,0.6323,10.112,9.687,9.483,-0.06,-0.09,13.73,0.05,7674,339,a,LIII 
EU Cyg,CEP,1.1758,10.177,9.679,9.456,-0.2,-0.23,15.47,0.06,11847,314,c,LIII 
EX Cyg,DCEP,0.6858,9.665,9.023,8.752,0.25,0.22,12.98,0.06,7391,393,c,LIII 
EZ Cyg,DCEP,1.0667,8.19,7.667,7.46,0.28,0.25,13.1,0.05,7389,386,a,LIII 
GH Cyg,DCEP,0.8931,7.251,6.799,6.577,0.21,0.18,11.67,0.05,7351,435,a,LIII 
GI Cyg,DCEP,0.7621,8.756,8.225,7.985,0.27,0.24,12.57,0.07,7494,412,c,LIII 
GL Cyg,CEP,0.5277,11.173,10.633,10.481,0.05,0.02,14.32,0.07,9314,320,c,LIII 
IY Cyg,CEP,1.3375,9.523,8.637,8.328,-0.09,-0.12,14.54,0.06,8976,283,c,LIII 
KX Cyg,DCEP,1.302,6.867,5.995,5.589,0.21,0.18,11.64,0.05,7804,435,a,LIII 
MW Cyg,DCEP,0.7749,6.688,6.206,5.984,0.09,0.15,10.66,0.05,7605,445,a,LII 
SU Cyg,DCEP,0.585,5.629,5.39,5.268,-0.03,0.03,9.55,0.05,7629,450,a,LII 
SZ Cyg,DCEP,1.1793,6.517,5.957,5.709,0.09,0.15,11.67,0.05,8023,435,a,LII 
TX Cyg,DCEP,1.1676,5.326,4.63,4.307,0.2,0.26,10.08,0.05,7905,448,a,LII 
V1020Cyg,DCEP,0.692,9.697,8.958,8.655,0.29,0.26,12.81,0.07,7473,402,c,LIII 
V1025 Cyg,DCEP,0.8427,9.534,8.849,8.562,0.23,0.2,13.28,0.06,7518,376,c,LIII 
V1033 Cyg,CEP,0.6935,9.503,8.918,8.673,0.12,0.09,12.99,0.07,7559,394,c,LIII 
V1046 Cyg,CEP,0.6941,8.978,8.257,8.012,0.23,0.2,12.22,0.06,7679,423,c,LIII 
V1154 Cyg,CEP,0.6925,7.457,7.094,6.964,-0.1,-0.04,11.51,0.07,7746,437,c,LII 
V1334 Cyg,DCEPS,0.5228,5.17,4.664,4.46,0.03,0.09,9,0.13,7895,450,c*,LII 
V1364 Cyg,DCEP,1.1132,9.104,8.351,8.055,0.29,0.26,13.62,0.05,8109,356,a,LIII 
V1397 Cyg,IS:,0.6665,9.127,8.507,8.262,0.01,-0.02,12.46,0.27,8874,459,c*,LIII 
V1726 Cyg,DCEPS,0.6269,7.181,6.836,6.699,-0.02,0.04,11.78,0.07,8352,435,c*,LII 
V347 Cyg,DCEP,0.9413,8.874,8.237,7.969,0.25,0.22,13.06,0.07,8679,402,c,LIII 
V356 Cyg,DCEP,0.7039,9.802,9.271,9.046,0.17,0.14,13.45,0.07,9203,390,c,LIII 
V386 Cyg,DCEP,0.7208,6.363,5.806,5.524,0.11,0.17,9.93,0.05,7923,448,a,LII 
V396 Cyg,DCEP,1.5218,6.072,5.053,4.588,0.11,0.08,11.23,0.05,7799,440,a,LIII 
V402 Cyg,DCEP,0.64,7.799,7.411,7.247,0.02,0.08,11.57,0.05,7638,436,a,LII 
V438 Cyg,DCEP,1.0496,6.78,6.074,5.723,0.33,0.3,11.08,0.05,7755,442,a,LIII 
V459 Cyg,DCEP,0.8604,7.6,7.071,6.847,0.09,0.06,11.77,0.05,8273,435,a,LIII 
V492 Cyg,DCEP,0.8797,8.75,8.145,7.859,0.24,0.21,12.76,0.07,7688,405,c,LIII 
V495 Cyg,DCEP,0.8276,7.11,6.539,6.252,0.24,0.21,11,0.05,7632,443,a,LIII 
V514Cyg,DCEP,0.7075,7.647,7.011,6.702,0.18,0.15,10.99,0.05,7957,443,a,LIII 
V520Cyg,DCEP,0.6074,8.229,7.755,7.59,0.08,0.05,11.74,0.07,8153,435,c,LIII 
V532 Cyg,DCEPS,0.5164,6.863,6.393,6.25,-0.04,0.02,10.85,0.1,8049,444,c*,LII 
V538 Cyg,DCEP,0.7867,7.791,7.306,7.099,0.05,0.02,11.82,0.05,8473,435,a,LIII 
V547 Cyg,DCEP,0.7942,10.065,9.53,9.316,0.15,0.12,14.02,0.06,8468,328,c,LIII 
V609 Cyg,DCEP,1.4924,6.815,6.122,5.783,0.22,0.19,12.65,0.05,8949,420,a,LIII 
V621Cyg,DCEP,0.7682,9.367,8.735,8.54,0.12,0.09,13.1,0.07,9156,407,c,LIII 
V924 Cyg,DCEPS,0.746,8.963,8.654,8.511,-0.09,-0.03,14.03,0.08,7987,321,c*,LII 
VX Cyg,DCEP,1.3039,6.694,6.078,5.84,0.09,0.15,12.19,0.05,8037,426,a,LII 
VY Cyg,DCEP,0.8953,6.999,6.548,6.337,0,0.06,11.45,0.05,7937,438,a,LII 
VZ Cyg,DCEP,0.687,7.186,6.852,6.699,0.05,0.11,11.23,0.05,8174,441,a,LII 
X Cyg,DCEP,1.2145,4.417,3.969,3.815,0.1,0.16,10.04,0.05,7772,448,b,LII 
EK Del,CEP,0.3111,11.292,10.953,10.887,-1.54,-1.57,14.2,0.07,6867,292,c,LIII 
W Gem,DCEP,0.8984,5.117,4.768,4.633,0.02,-0.01,9.87,0.05,8843,452,a,LIII 
BB Her,DCEP,0.8755,8.076,7.675,7.538,0.26,0.23,12.66,0.06,5950,418,c,LIII 
BG Lac,DCEP,0.7269,7.009,6.649,6.473,0.07,0.04,11.11,0.05,8191,443,a,LIII 
DF Lac,DCEP,0.6512,9.429,9.054,8.848,0.04,0.01,13.2,0.07,9834,415,c,LIII 
FQ Lac,CEP:,1.0518,11.234,10.278,9.63,-0.2,-0.23,14.64,0.07,13114,413,c,LIII 
RR Lac,DCEP,0.8073,6.967,6.62,6.468,0.04,0.01,11.4,0.05,8647,442,a,LIII 
V Lac,DCEP,0.6975,7.034,6.667,6.531,0.06,0.03,11.08,0.05,8552,444,a,LIII 
V411Lac,DCEPS,0.4639,6.309,6.033,5.929,0.02,-0.01,10.51,0.07,8279,447,c*,LIII 
X Lac,DCEPS,0.736,6.492,6.139,5.969,0.08,0.05,11.4,0.05,8676,442,a,LIII 
Y Lac,DCEP,0.6359,7.612,7.31,7.18,0.03,0,11.58,0.05,8500,439,a,LIII 
Z Lac,DCEP,1.0369,6.21,5.804,5.63,0.1,0.07,11.27,0.05,8603,443,a,LIII 
V473 Lyr,DCEPS:,0.1734,5.47,4.7,4.549,-0.06,-0.09,7.86,0.18,7764,452,c*,LIII 
AA Mon,DCEP,0.5953,9.729,9.199,8.953,-0.09,-0.12,12.97,0.05,11330,450,a†,LIII 
AC Mon,DCEP,0.9039,7.577,7.066,6.849,-0.03,-0.06,11.94,0.05,9895,448,a,LIII 
CS Mon,CEP,0.8281,8.634,8.16,7.949,-0.08,-0.11,12.82,0.07,11367,461,c,LIII 
CU Mon,DCEP,0.6728,10.595,10.007,9.762,-0.23,-0.26,14,0.05,13735,461,b†,LIII 
EE Mon,DCEP,0.6821,10.866,10.309,10.094,-0.52,-0.55,14.41,0.07,14593,477,c,LIII 
FG Mon,DCEP,0.6529,10.513,9.976,9.743,-0.14,-0.17,13.96,0.05,13226,450,b†,LIII 
FI Mon,DCEP,0.5169,10.425,9.939,9.733,-0.11,-0.14,13.55,0.05,12257,447,b†,LIII 
V446 Mon,CEP,0.2832,11.301,10.791,10.585,-0.3,-0.33,13.59,0.07,12716,466,c,LIII 
V447 Mon,CEP,0.3951,10.111,10.331,10.854,-0.37,-0.4,15.21,0.05,18399,502,b†,LIII 
V484 Mon,CEP,0.4963,10.968,10.533,10.302,-0.06,-0.09,14.07,0.07,13862,476,c,LIII 
V504 Mon,CEP,0.4431,9.713,9.258,9.071,0.01,-0.02,13.33,0.12,12006,503,c,LIII 
V526 Mon,DCEPS,0.4273,7.314,7.075,6.962,-0.17,-0.2,11.44,0.08,9591,453,c*,LIII 
V911Mon,DCEP,0.6971,9.481,8.932,8.694,-0.01,-0.04,13.05,0.07,11822,464,c,LIII 
VZ Mon,DCEP,0.7062,10.088,9.421,9.132,-0.07,-0.1,13.4,0.05,12539,461,b†,LIII 
YY Mon,DCEP,0.5384,11.314,10.802,10.638,-0.46,-0.49,14.53,0.06,15011,480,c,LIII 
R Mus,DCEP,0.8757,4.904,4.577,4.465,-0.08,-0.11,9.66,0.05,7523,450,b†,LIII 
RT Mus,DCEP,0.4894,7.181,6.809,6.66,0.12,0.09,10.5,0.05,7464,447,b,LIII 
TZ Mus,DCEP,0.6942,8.944,8.405,8.18,0.1,0.07,12.54,0.07,7106,413,c,LIII 
BF Oph,DCEP,0.6094,5.652,5.495,5.311,0.14,0.11,9.7,0.05,7081,452,b,LIII 
Y Oph,DCEPS,1.2336,3.374,2.882,2.673,0.06,0.12,9.7,0.05,7141,452,b,LII 
CR Ori,DCEP,0.6911,9.705,9.294,9.114,-0.19,-0.22,13.59,0.06,13023,474,c,LIII 
DF Ori,DCEP,0.5025,10.618,10.09,9.834,-0.28,-0.31,13.54,0.07,12868,473,c,LIII 
AS Per,DCEP,0.6966,6.928,6.477,6.258,0.14,0.11,10.7,0.05,9199,452,a,LIII 
AW Per,DCEP,0.8105,5.213,4.832,4.657,0.04,0.01,9.56,0.05,8731,452,a,LIII 
BM Per,DCEP,1.3608,6.667,6.005,5.706,0.23,0.2,12.17,0.05,10480,453,a,LIII 
CI Per,CEP:,0.5286,10.666,10.427,10.293,-0.32,-0.35,14.38,0.07,14135,465,c,LIII 
DW Per,DCEP,0.5623,9.181,8.733,8.537,-0.05,-0.08,12.54,0.06,10509,449,c,LIII 
GP Per,CEP,0.31,11.59,11.124,11.001,-0.8,-0.83,14.18,0.07,14508,488,c,LIII 
HQ Per,CEP,0.9364,9.179,8.626,8.465,-0.35,-0.38,13.67,0.06,13198,475,c,LIII 
HZ Per,DCEP,1.0523,9.149,8.339,8.002,-0.25,-0.28,13.3,0.05,12274,459,a,LIII 
MM Per,DCEP,0.6147,8.655,8.26,8.086,-0.07,-0.1,12.32,0.05,10554,452,a,LIII 
OT Per,DCEP,1.4165,8.735,7.914,7.565,-0.07,-0.1,14.07,0.05,14178,470,a,LIII 
SV Per,DCEP,1.0465,6.789,6.354,6.177,0.06,0.03,11.83,0.05,10177,454,a,LIII 
SX Per,DCEP,0.6325,8.757,8.347,8.167,-0.03,-0.06,12.44,0.05,10851,455,a,LIII 
UX Per,DCEP,0.6595,9.577,9.171,9.009,-0.05,-0.08,13.39,0.07,11736,450,c,LIII 
UY Per,DCEP,0.7296,8.079,7.536,7.334,0.18,0.15,11.82,0.06,9737,449,c,LIII 
V440 Per,DCEPS,0.8791,5.072,4.598,4.18,-0.04,0.02,9.84,0.18,8628,454,c*,LII 
V891 Per,DCEP,0.5079,9.092,8.445,8.164,0.09,0.06,11.78,0.07,9832,452,c,LIII 
VX Per,DCEP,1.037,6.879,6.439,6.24,0.06,0.03,11.84,0.05,9678,447,a,LIII 
VY Per,DCEP,0.7429,7.829,7.247,7.013,0.04,0.01,11.5,0.06,9457,449,c,LIII 
NT Pup,DCEP,1.1921,9.149,8.445,8.261,-0.02,-0.05,14.2,0.07,11805,409,c,LIII 
V335 Pup,DCEPS,0.6866,7.124,6.819,6.675,0.09,0.06,11.99,0.08,9417,444,c*,LIII 
RV Sco,DCEP,0.7826,5.081,4.694,4.543,0.11,0.08,9.36,0.05,7210,452,b,LIII 
V482 Sco,DCEP,0.6559,5.976,5.591,5.438,0.2,0.17,9.83,0.05,7021,452,b,LIII 
V636 Sco,DCEP,0.8323,4.908,4.537,4.398,0.1,0.07,9.4,0.05,7219,452,b†,LIII 
V950 Sco,DCEPS,0.5289,5.729,5.425,5.295,0.21,0.18,10.07,0.05,6933,452,b†,LIII 
BX Sct,DCEP,0.8069,7.834,7.147,6.774,0.28,0.25,11.32,0.07,6395,450,c,LIII 
CK Sct,DCEP,0.8701,7.381,6.819,6.591,0.21,0.18,11.52,0.05,6196,449,a,LIII 
CM Sct,DCEP,0.593,8.3,7.818,7.558,0.15,0.12,11.6,0.07,6153,450,c,LIII 
CN Sct,DCEP,0.9997,7.842,7.069,6.697,0.33,0.3,11.82,0.05,5996,446,a,LIII 
